,#,team,gp,w,l,win%,min,efg%,"fta
rate",tov%,oreb%,"opp
efg%","opp
fta rate","opp
tov%","opp
oreb%",season
28,29,Philadelphia 76ers,82,19,63,.232,3971,47.5,0.268,16.8,29.0,52.4,0.324,16.8,31.6,'13-14
29,30,Milwaukee Bucks,82,15,67,.183,3976,47.9,0.274,16.1,31.0,52.0,0.299,15.0,32.2,'13-14
0,1,Golden State Warriors,82,67,15,.817,3946,54.0,0.239,14.5,27.3,47.0,0.284,16.3,29.7,'14-15
1,2,Atlanta Hawks,82,60,22,.732,3946,52.7,0.259,15.0,26.4,49.2,0.242,16.9,30.3,'14-15
2,3,Houston Rockets,82,56,26,.683,3961,51.2,0.312,17.0,30.5,48.6,0.277,16.7,31.4,'14-15
3,3,Los Angeles Clippers,82,56,26,.683,3946,53.3,0.303,12.9,27.2,49.3,0.312,14.9,28.4,'14-15
4,5,Memphis Grizzlies,82,55,27,.671,3981,48.9,0.276,14.2,28.8,49.2,0.247,16.3,28.4,'14-15
5,5,San Antonio Spurs,82,55,27,.671,3991,51.7,0.256,14.6,27.2,48.4,0.256,14.9,27.0,'14-15
6,7,Cleveland Cavaliers,82,53,29,.646,3956,52.0,0.287,15.2,31.1,50.2,0.238,14.2,28.9,'14-15
7,8,Portland Trail Blazers,82,51,31,.622,3971,50.8,0.225,14.2,28.2,47.6,0.240,12.7,27.2,'14-15
8,9,Chicago Bulls,82,50,32,.610,3976,48.9,0.304,14.7,31.2,47.3,0.242,12.9,29.1,'14-15
9,9,Dallas Mavericks,82,50,32,.610,3976,51.5,0.262,13.3,26.9,50.3,0.271,16.7,31.9,'14-15
10,11,Toronto Raptors,82,49,33,.598,3971,50.8,0.295,13.7,30.1,50.6,0.283,15.3,31.1,'14-15
11,12,Washington Wizards,82,46,36,.561,3991,49.9,0.259,15.7,28.8,48.1,0.284,14.6,27.4,'14-15
12,13,New Orleans Pelicans,82,45,37,.549,3956,50.1,0.263,14.3,30.9,49.6,0.257,13.2,28.8,'14-15
13,13,Oklahoma City Thunder,82,45,37,.549,3966,49.2,0.284,15.1,31.8,48.9,0.286,14.0,27.0,'14-15
14,15,Milwaukee Bucks,82,41,41,.500,3986,49.9,0.258,17.5,29.0,48.7,0.298,18.1,31.4,'14-15
15,16,Boston Celtics,82,40,42,.488,3976,48.9,0.233,14.2,28.9,49.4,0.275,15.5,29.0,'14-15
16,17,Phoenix Suns,82,39,43,.476,3976,50.1,0.251,15.4,28.1,49.7,0.291,15.9,30.2,'14-15
17,18,Brooklyn Nets,82,38,44,.463,3986,49.1,0.267,14.6,27.8,50.6,0.253,14.6,29.9,'14-15
18,18,Indiana Pacers,82,38,44,.463,3971,48.4,0.266,14.8,28.6,47.8,0.288,13.5,26.5,'14-15
19,18,Utah Jazz,82,38,44,.463,3941,49.4,0.297,16.8,33.2,49.1,0.267,14.4,28.5,'14-15
20,21,Miami Heat,82,37,45,.451,3946,50.0,0.306,16.1,28.4,50.5,0.292,16.2,31.3,'14-15
21,22,Charlotte Hornets,82,33,49,.402,3981,45.6,0.269,12.6,27.0,48.7,0.244,13.3,25.4,'14-15
22,23,Detroit Pistons,82,32,50,.390,3966,48.2,0.261,14.2,31.6,50.2,0.249,14.8,28.8,'14-15
23,24,Denver Nuggets,82,30,52,.366,3976,47.9,0.278,14.6,30.3,50.4,0.320,14.6,30.0,'14-15
24,25,Sacramento Kings,82,29,53,.354,3971,49.0,0.363,16.8,31.3,50.7,0.268,13.3,28.5,'14-15
25,26,Orlando Magic,82,25,57,.305,3951,49.4,0.230,15.7,26.9,51.4,0.279,15.2,28.4,'14-15
26,27,Los Angeles Lakers,82,21,61,.256,3986,47.3,0.276,13.8,29.0,51.8,0.311,13.5,28.0,'14-15
27,28,Philadelphia 76ers,82,18,64,.220,3961,45.9,0.288,18.3,29.3,49.7,0.298,17.2,31.4,'14-15
28,29,New York Knicks,82,17,65,.207,3971,47.0,0.234,15.8,28.9,51.2,0.308,15.1,30.9,'14-15
29,30,Minnesota Timberwolves,82,16,66,.195,3961,46.8,0.309,15.6,31.1,53.7,0.246,15.8,31.8,'14-15
0,1,Golden State Warriors,82,73,9,.890,3976,56.3,0.250,15.0,26.7,47.9,0.275,14.3,28.0,'15-16
1,2,San Antonio Spurs,82,67,15,.817,3941,52.6,0.246,13.8,26.6,47.7,0.240,15.7,25.4,'15-16
2,3,Cleveland Cavaliers,82,57,25,.695,3971,52.4,0.259,14.3,29.4,49.6,0.275,14.1,25.8,'15-16
3,4,Toronto Raptors,82,56,26,.683,3956,50.4,0.328,13.9,30.0,49.8,0.269,14.2,26.4,'15-16
4,5,Oklahoma City Thunder,82,55,27,.671,3966,52.4,0.292,16.2,34.7,48.4,0.271,13.3,28.0,'15-16
5,6,LA Clippers,82,53,29,.646,3966,52.4,0.318,13.3,23.4,48.0,0.296,15.7,30.3,'15-16
6,7,Atlanta Hawks,82,48,34,.585,3966,51.6,0.237,15.2,23.4,48.0,0.256,16.4,30.2,'15-16
7,7,Boston Celtics,82,48,34,.585,3956,48.8,0.264,13.8,29.0,48.7,0.306,16.4,29.3,'15-16
8,7,Charlotte Hornets,82,48,34,.585,3971,50.2,0.280,12.9,24.4,49.6,0.249,13.8,24.6,'15-16
9,7,Miami Heat,82,48,34,.585,3966,50.8,0.282,14.8,28.0,48.5,0.255,13.6,27.1,'15-16
10,11,Indiana Pacers,82,45,37,.549,3976,49.7,0.268,15.1,27.1,48.9,0.273,16.1,28.6,'15-16
11,12,Detroit Pistons,82,44,38,.537,3976,49.1,0.296,14.0,31.3,50.4,0.250,13.9,24.7,'15-16
12,12,Portland Trail Blazers,82,44,38,.537,3961,51.1,0.268,15.0,29.4,50.3,0.307,13.6,27.2,'15-16
13,14,Chicago Bulls,82,42,40,.512,3981,48.7,0.240,14.2,29.0,48.5,0.247,12.2,28.6,'15-16
14,14,Dallas Mavericks,82,42,40,.512,4001,50.2,0.265,13.2,24.1,50.4,0.269,14.4,27.7,'15-16
15,14,Memphis Grizzlies,82,42,40,.512,3966,47.7,0.295,14.0,29.8,51.8,0.326,17.1,29.1,'15-16
16,17,Houston Rockets,82,41,41,.500,3966,51.6,0.352,16.1,29.7,51.6,0.289,16.8,30.8,'15-16
17,17,Washington Wizards,82,41,41,.500,3951,51.1,0.263,14.5,25.0,51.5,0.283,16.2,26.3,'15-16
18,19,Utah Jazz,82,40,42,.488,3991,50.1,0.286,16.1,30.3,49.5,0.281,15.0,26.9,'15-16
19,20,Orlando Magic,82,35,47,.427,3981,50.0,0.232,14.4,27.1,51.3,0.288,15.5,27.4,'15-16
20,21,Denver Nuggets,82,33,49,.402,3966,48.9,0.282,15.1,30.4,51.5,0.284,14.1,26.8,'15-16
21,21,Milwaukee Bucks,82,33,49,.402,3966,49.9,0.276,15.9,28.6,51.0,0.288,16.2,31.1,'15-16
22,21,Sacramento Kings,82,33,49,.402,3961,51.0,0.295,16.0,28.1,52.1,0.264,15.7,28.3,'15-16
23,24,New York Knicks,82,32,50,.390,3961,48.3,0.255,14.2,28.0,48.7,0.271,11.9,28.2,'15-16
24,25,New Orleans Pelicans,82,30,52,.366,3956,49.8,0.259,13.7,25.2,52.3,0.287,14.0,25.2,'15-16
25,26,Minnesota Timberwolves,82,29,53,.354,3976,49.8,0.332,15.5,27.9,52.4,0.265,15.3,29.8,'15-16
26,27,Phoenix Suns,82,23,59,.280,3941,48.7,0.271,17.3,29.7,52.3,0.317,15.0,26.7,'15-16
27,28,Brooklyn Nets,82,21,61,.256,3951,49.2,0.246,15.3,27.9,53.4,0.230,14.7,28.4,'15-16
28,29,Los Angeles Lakers,82,17,65,.207,3946,46.0,0.292,14.2,27.1,52.3,0.277,13.1,28.8,'15-16
29,30,Philadelphia 76ers,82,10,72,.122,3961,48.7,0.269,16.5,25.0,51.0,0.306,15.3,30.7,'15-16
0,1,Golden State Warriors,82,67,15,.817,3956,56.3,0.259,14.6,27.2,48.6,0.261,15.4,29.1,'16-17
1,2,San Antonio Spurs,82,61,21,.744,3961,52.4,0.263,14.1,28.2,49.2,0.249,15.1,27.0,'16-17
2,3,Houston Rockets,82,55,27,.671,3956,54.5,0.304,15.0,28.1,51.9,0.250,14.9,28.3,'16-17
3,4,Boston Celtics,82,53,29,.646,3951,52.5,0.273,13.6,25.9,50.3,0.290,14.3,29.5,'16-17
4,5,Cleveland Cavaliers,82,51,31,.622,3976,54.7,0.275,14.0,26.4,51.6,0.226,12.9,27.8,'16-17
5,5,LA Clippers,82,51,31,.622,3951,53.7,0.312,13.3,25.6,50.6,0.274,13.6,26.7,'16-17
6,5,Toronto Raptors,82,51,31,.622,3956,51.7,0.293,13.2,29.1,50.7,0.286,15.3,28.3,'16-17
7,5,Utah Jazz,82,51,31,.622,3951,52.6,0.288,14.8,27.0,49.3,0.253,13.1,25.7,'16-17
8,9,Washington Wizards,82,49,33,.598,3971,52.8,0.254,14.3,28.6,52.4,0.284,15.5,28.4,'16-17
9,10,Oklahoma City Thunder,82,47,35,.573,3961,50.0,0.295,15.2,32.3,51.1,0.285,13.9,25.8,'16-17
10,11,Atlanta Hawks,82,43,39,.524,3976,50.4,0.295,16.0,28.2,50.7,0.232,15.6,28.3,'16-17
11,11,Memphis Grizzlies,82,43,39,.524,3981,49.1,0.280,13.7,29.5,50.6,0.341,15.2,26.9,'16-17
12,13,Indiana Pacers,82,42,40,.512,3971,51.6,0.261,14.1,25.5,51.2,0.286,15.3,28.7,'16-17
13,13,Milwaukee Bucks,82,42,40,.512,3956,52.7,0.274,14.6,26.0,51.8,0.279,15.4,29.4,'16-17
14,15,Chicago Bulls,82,41,41,.500,3956,48.7,0.259,14.0,31.1,50.7,0.219,13.9,26.7,'16-17
15,15,Miami Heat,82,41,41,.500,3956,51.2,0.251,14.0,28.4,49.6,0.281,14.2,28.2,'16-17
16,15,Portland Trail Blazers,82,41,41,.500,3986,52.0,0.275,13.9,26.9,50.8,0.307,13.0,28.0,'16-17
17,18,Denver Nuggets,82,40,42,.488,3951,53.0,0.276,15.0,31.4,53.2,0.248,12.0,24.7,'16-17
18,19,Detroit Pistons,82,37,45,.451,3961,49.2,0.218,12.3,28.6,51.6,0.253,13.3,22.5,'16-17
19,20,Charlotte Hornets,82,36,46,.439,3966,50.1,0.279,11.9,24.7,52.3,0.211,13.5,25.1,'16-17
20,21,New Orleans Pelicans,82,34,48,.415,3981,50.4,0.256,12.9,22.8,50.9,0.232,14.0,27.2,'16-17
21,22,Dallas Mavericks,82,33,49,.402,3956,50.5,0.225,12.7,21.6,52.9,0.282,16.0,26.7,'16-17
22,23,Sacramento Kings,82,32,50,.390,3976,51.6,0.284,15.2,25.8,52.8,0.291,14.5,27.7,'16-17
23,24,Minnesota Timberwolves,82,31,51,.378,3961,51.1,0.287,14.6,30.9,53.5,0.275,14.8,29.0,'16-17
24,24,New York Knicks,82,31,51,.378,3971,49.6,0.239,14.3,30.5,51.1,0.278,13.3,30.2,'16-17
25,26,Orlando Magic,82,29,53,.354,3961,48.9,0.246,13.7,26.7,52.3,0.263,13.4,27.4,'16-17
26,27,Philadelphia 76ers,82,28,54,.341,3966,50.1,0.258,16.7,27.3,51.2,0.303,15.1,29.1,'16-17
27,28,Los Angeles Lakers,82,26,56,.317,3941,50.1,0.259,15.3,28.4,54.2,0.279,14.6,28.3,'16-17
28,29,Phoenix Suns,82,24,58,.293,3966,49.3,0.297,15.2,29.9,52.5,0.338,14.6,28.2,'16-17
29,30,Brooklyn Nets,82,20,62,.244,3951,50.7,0.289,16.2,24.1,51.3,0.275,13.0,28.4,'16-17
0,1,Houston Rockets,82,65,17,.793,3951,55.1,0.298,14.1,25.4,52.1,0.229,14.8,25.0,'17-18
1,2,Toronto Raptors,82,59,23,.720,3966,53.9,0.250,13.5,27.4,50.1,0.277,14.5,27.5,'17-18
2,3,Golden State Warriors,82,58,24,.707,3946,56.9,0.239,15.3,24.3,50.4,0.245,14.2,28.8,'17-18
3,4,Boston Celtics,82,55,27,.671,3961,51.8,0.243,14.4,26.3,49.5,0.251,14.5,26.1,'17-18
4,5,Philadelphia 76ers,82,52,30,.634,3956,53.5,0.263,16.3,28.6,49.2,0.293,14.1,26.4,'17-18
5,6,Cleveland Cavaliers,82,50,32,.610,3946,54.7,0.275,13.9,24.3,54.0,0.219,13.6,27.0,'17-18
6,7,Portland Trail Blazers,82,49,33,.598,3951,51.1,0.240,13.9,27.9,50.3,0.256,13.0,25.4,'17-18
7,8,Indiana Pacers,82,48,34,.585,3951,52.5,0.222,13.6,27.1,52.7,0.230,16.0,27.9,'17-18
8,8,New Orleans Pelicans,82,48,34,.585,3991,54.1,0.237,14.5,24.0,51.3,0.223,14.1,27.4,'17-18
9,8,Oklahoma City Thunder,82,48,34,.585,3966,51.4,0.275,14.3,32.0,52.5,0.252,16.3,27.5,'17-18
10,8,Utah Jazz,82,48,34,.585,3951,52.7,0.260,15.2,25.6,50.6,0.247,15.4,24.4,'17-18
11,12,Minnesota Timberwolves,82,47,35,.573,3961,52.3,0.280,12.8,28.9,53.9,0.242,15.5,28.0,'17-18
12,12,San Antonio Spurs,82,47,35,.573,3946,50.7,0.245,13.7,27.7,50.7,0.224,14.7,25.9,'17-18
13,14,Denver Nuggets,82,46,36,.561,3976,53.6,0.258,15.1,30.0,53.9,0.235,14.0,26.4,'17-18
14,15,Miami Heat,82,44,38,.537,3986,52.0,0.229,14.8,26.1,50.7,0.274,14.5,25.9,'17-18
15,15,Milwaukee Bucks,82,44,38,.537,3966,53.1,0.281,14.2,24.4,52.8,0.281,15.9,29.1,'17-18
16,17,Washington Wizards,82,43,39,.524,3971,52.5,0.254,14.8,27.4,52.2,0.279,15.1,26.8,'17-18
17,18,LA Clippers,82,42,40,.512,3941,52.7,0.299,14.7,28.4,52.0,0.259,14.1,28.2,'17-18
18,19,Detroit Pistons,82,39,43,.476,3961,51.2,0.227,13.8,26.9,52.4,0.222,15.2,26.0,'17-18
19,20,Charlotte Hornets,82,36,46,.439,3956,50.8,0.312,12.8,27.1,53.2,0.208,13.7,23.7,'17-18
20,21,Los Angeles Lakers,82,35,47,.427,3981,51.7,0.264,15.5,27.9,51.4,0.250,14.0,27.1,'17-18
21,22,New York Knicks,82,29,53,.354,3966,51.0,0.216,15.0,28.9,52.2,0.269,13.5,27.3,'17-18
22,23,Brooklyn Nets,82,28,54,.341,3971,51.4,0.260,15.1,25.1,51.7,0.262,12.3,26.9,'17-18
23,24,Chicago Bulls,82,27,55,.329,3971,49.7,0.216,14.1,25.6,54.2,0.233,13.6,23.3,'17-18
24,24,Sacramento Kings,82,27,55,.329,3951,50.2,0.194,14.3,26.4,54.2,0.260,14.9,26.9,'17-18
25,26,Orlando Magic,82,25,57,.305,3946,51.2,0.238,14.7,24.8,52.5,0.243,14.4,28.6,'17-18
26,27,Atlanta Hawks,82,24,58,.293,3941,51.2,0.236,15.7,26.3,53.6,0.237,15.3,28.1,'17-18
27,27,Dallas Mavericks,82,24,58,.293,3961,51.3,0.217,12.7,22.4,53.2,0.255,14.1,25.1,'17-18
28,29,Memphis Grizzlies,82,22,60,.268,3941,50.0,0.255,15.6,27.6,52.9,0.333,15.4,27.9,'17-18
29,30,Phoenix Suns,82,21,61,.256,3941,49.5,0.275,15.5,27.1,53.3,0.277,13.2,27.6,'17-18
0,1,Milwaukee Bucks,82,60,22,.732,3956,55.0,0.255,13.3,25.0,50.3,0.221,12.8,24.3,'18-19
1,2,Toronto Raptors,82,58,24,.707,3976,54.3,0.247,13.8,26.5,50.9,0.249,14.7,27.4,'18-19
2,3,Golden State Warriors,82,57,25,.695,3961,56.5,0.227,13.9,25.7,50.8,0.266,13.2,27.3,'18-19
3,4,Denver Nuggets,82,54,28,.659,3946,52.7,0.232,13.6,30.8,52.1,0.257,13.7,25.6,'18-19
4,5,Houston Rockets,82,53,29,.646,3966,54.2,0.279,13.5,26.9,52.5,0.274,15.2,30.0,'18-19
5,5,Portland Trail Blazers,82,53,29,.646,3971,52.8,0.258,13.7,30.8,51.6,0.253,12.3,26.1,'18-19
6,7,Philadelphia 76ers,82,51,31,.622,3961,53.2,0.312,14.4,27.8,51.2,0.268,12.3,25.9,'18-19
7,8,Utah Jazz,82,50,32,.610,3951,53.8,0.295,14.9,27.5,50.7,0.251,13.7,24.1,'18-19
8,9,Boston Celtics,82,49,33,.598,3956,53.4,0.215,12.7,25.7,51.4,0.259,15.0,27.2,'18-19
9,9,Oklahoma City Thunder,82,49,33,.598,3971,51.4,0.266,13.4,29.8,52.3,0.271,16.0,26.2,'18-19
10,11,Indiana Pacers,82,48,34,.585,3941,53.0,0.242,13.9,26.9,51.6,0.243,15.8,27.8,'18-19
11,11,LA Clippers,82,48,34,.585,3966,52.9,0.326,14.1,26.3,51.4,0.288,12.7,27.8,'18-19
12,11,San Antonio Spurs,82,48,34,.585,3961,53.4,0.237,12.2,24.6,52.8,0.225,12.2,25.6,'18-19
13,14,Brooklyn Nets,82,42,40,.512,3996,52.0,0.284,14.6,28.2,51.2,0.247,13.1,28.0,'18-19
14,14,Orlando Magic,82,42,40,.512,3956,51.8,0.216,13.3,25.9,51.5,0.239,13.1,24.6,'18-19
15,16,Detroit Pistons,82,41,41,.500,3971,50.9,0.262,14.0,29.1,52.6,0.279,14.2,25.5,'18-19
16,17,Charlotte Hornets,82,39,43,.476,3966,51.4,0.257,12.2,26.8,53.8,0.227,13.5,26.9,'18-19
17,17,Miami Heat,82,39,43,.476,3946,51.5,0.247,14.9,29.1,51.0,0.262,14.3,26.9,'18-19
18,17,Sacramento Kings,82,39,43,.476,3946,52.4,0.244,12.8,26.8,53.3,0.269,15.3,28.7,'18-19
19,20,Los Angeles Lakers,82,37,45,.451,3956,52.7,0.257,15.0,27.0,51.6,0.245,13.7,27.5,'18-19
20,21,Minnesota Timberwolves,82,36,46,.439,3966,51.1,0.267,12.9,29.2,53.8,0.247,14.5,29.1,'18-19
21,22,Dallas Mavericks,82,33,49,.402,3956,51.9,0.291,14.2,27.3,52.2,0.246,13.0,26.6,'18-19
22,22,Memphis Grizzlies,82,33,49,.402,3976,50.8,0.272,14.3,24.7,52.1,0.296,15.5,27.6,'18-19
23,22,New Orleans Pelicans,82,33,49,.402,3951,52.9,0.254,14.2,28.5,53.2,0.253,13.0,27.1,'18-19
24,25,Washington Wizards,82,32,50,.390,3986,53.1,0.266,13.6,25.2,54.6,0.255,15.2,29.4,'18-19
25,26,Atlanta Hawks,82,29,53,.354,3971,52.2,0.255,16.2,28.4,54.1,0.313,14.3,28.2,'18-19
26,27,Chicago Bulls,82,22,60,.268,3981,50.5,0.235,14.1,24.2,54.1,0.247,13.3,27.3,'18-19
27,28,Cleveland Cavaliers,82,19,63,.232,3951,50.3,0.236,13.8,28.2,56.4,0.235,12.8,26.8,'18-19
28,28,Phoenix Suns,82,19,63,.232,3976,51.4,0.259,15.3,24.7,54.5,0.313,15.3,31.7,'18-19
29,30,New York Knicks,82,17,65,.207,3956,49.0,0.270,14.0,26.4,53.3,0.265,13.1,28.3,'18-19
0,1,Milwaukee Bucks,73,56,17,.767,3519,55.2,0.271,14.2,24.1,48.9,0.226,13.3,22.5,'19-20
1,2,Toronto Raptors,72,53,19,.736,3476,53.6,0.264,14.6,25.6,50.2,0.263,16.5,27.9,'19-20
2,3,Los Angeles Lakers,71,52,19,.732,3418,54.2,0.276,14.9,28.3,51.5,0.263,15.7,26.3,'19-20
3,4,LA Clippers,72,49,23,.681,3476,53.5,0.295,14.2,27.8,50.6,0.272,13.7,26.3,'19-20
4,5,Boston Celtics,72,48,24,.667,3486,53.1,0.259,13.7,28.3,50.9,0.281,15.1,26.9,'19-20
5,6,Denver Nuggets,73,46,27,.630,3549,53.5,0.235,13.9,29.4,53.3,0.260,14.4,27.5,'19-20
6,7,Indiana Pacers,73,45,28,.616,3524,53.4,0.216,13.2,24.3,51.1,0.244,14.7,28.2,'19-20
7,8,Houston Rockets,72,44,28,.611,3476,53.7,0.288,14.0,24.9,52.9,0.259,15.4,28.7,'19-20
8,8,Oklahoma City Thunder,72,44,28,.611,3486,53.0,0.290,13.7,24.1,51.8,0.218,14.2,27.2,'19-20
9,8,Utah Jazz,72,44,28,.611,3471,54.9,0.268,15.2,26.1,51.8,0.241,12.4,25.4,'19-20
10,11,Miami Heat,73,44,29,.603,3549,54.7,0.299,14.9,25.7,52.3,0.272,14.0,24.7,'19-20
11,12,Philadelphia 76ers,73,43,30,.589,3519,53.4,0.255,14.2,28.1,52.3,0.285,13.8,24.7,'19-20
12,13,Dallas Mavericks,75,43,32,.573,3635,54.5,0.264,12.6,27.5,52.5,0.230,11.9,26.0,'19-20
13,14,Brooklyn Nets,72,35,37,.486,3496,52.0,0.267,14.8,28.0,51.1,0.243,12.4,26.4,'19-20
14,15,Portland Trail Blazers,74,35,39,.473,3567,53.3,0.242,12.6,26.6,53.0,0.270,12.7,28.8,'19-20
15,16,Memphis Grizzlies,73,34,39,.466,3514,52.8,0.240,14.7,27.1,52.1,0.277,14.3,26.7,'19-20
16,16,Phoenix Suns,73,34,39,.466,3519,53.2,0.271,14.5,26.1,53.9,0.280,15.2,26.6,'19-20
17,18,Orlando Magic,73,33,40,.452,3514,50.6,0.256,12.9,26.7,53.5,0.228,14.7,25.1,'19-20
18,19,San Antonio Spurs,71,32,39,.451,3443,53.1,0.262,12.3,23.3,54.2,0.249,12.9,24.9,'19-20
19,20,Sacramento Kings,72,31,41,.431,3491,53.4,0.230,14.4,25.8,54.3,0.285,15.1,26.4,'19-20
20,21,New Orleans Pelicans,72,30,42,.417,3486,53.9,0.256,15.6,28.7,53.2,0.268,13.9,27.1,'19-20
21,22,Charlotte Hornets,65,23,42,.354,3150,50.4,0.252,15.0,28.0,54.6,0.210,14.8,29.4,'19-20
22,23,Washington Wizards,72,25,47,.347,3471,52.3,0.270,13.6,26.2,55.8,0.297,15.6,28.8,'19-20
23,24,Chicago Bulls,65,22,43,.338,3135,51.5,0.231,15.3,26.7,54.6,0.315,18.1,28.1,'19-20
24,25,New York Knicks,66,21,45,.318,3193,50.1,0.263,14.3,30.0,54.1,0.299,13.8,25.8,'19-20
25,26,Detroit Pistons,66,20,46,.303,3193,52.9,0.261,15.5,27.7,54.1,0.239,14.2,28.3,'19-20
26,27,Atlanta Hawks,67,20,47,.299,3256,51.5,0.258,15.5,26.7,54.3,0.303,14.3,29.2,'19-20
27,28,Minnesota Timberwolves,64,19,45,.297,3112,51.4,0.277,14.6,26.4,54.1,0.279,14.7,26.9,'19-20
28,29,Cleveland Cavaliers,65,19,46,.292,3145,52.2,0.227,16.5,29.6,56.0,0.214,13.0,26.2,'19-20
29,30,Golden State Warriors,65,15,50,.231,3145,49.7,0.264,14.6,25.5,55.3,0.247,15.4,27.8,'19-20
0,1,Utah Jazz,72,52,20,.722,3471,56.3,0.244,14.2,28.4,50.7,0.207,11.5,24.3,'20-21
1,2,Phoenix Suns,72,51,21,.708,3496,56.4,0.212,12.6,24.8,53.4,0.250,13.7,25.9,'20-21
2,3,Philadelphia 76ers,72,49,23,.681,3486,54.1,0.293,14.3,27.7,52.1,0.262,15.4,26.3,'20-21
3,4,Brooklyn Nets,72,48,24,.667,3481,57.5,0.258,13.4,25.2,53.1,0.241,12.5,27.4,'20-21
4,5,Denver Nuggets,72,47,25,.653,3496,55.7,0.219,13.6,29.2,54.5,0.258,14.3,24.9,'20-21
5,5,LA Clippers,72,47,25,.653,3456,56.4,0.222,13.5,27.0,53.1,0.239,13.2,24.6,'20-21
6,7,Milwaukee Bucks,72,46,26,.639,3466,56.6,0.233,13.4,26.9,53.6,0.202,12.7,24.5,'20-21
7,8,Dallas Mavericks,72,42,30,.583,3461,55.0,0.242,12.3,25.3,53.4,0.259,12.9,26.6,'20-21
8,8,Los Angeles Lakers,72,42,30,.583,3491,53.6,0.271,15.2,26.9,52.6,0.237,15.2,25.2,'20-21
9,8,Portland Trail Blazers,72,42,30,.583,3461,54.0,0.238,11.2,27.3,54.6,0.258,12.5,26.9,'20-21
10,11,Atlanta Hawks,72,41,31,.569,3481,53.9,0.278,13.3,28.4,53.0,0.237,12.4,25.8,'20-21
11,11,New York Knicks,72,41,31,.569,3486,52.4,0.242,13.3,26.4,50.9,0.257,13.1,26.2,'20-21
12,13,Miami Heat,72,40,32,.556,3476,54.6,0.252,14.4,24.0,54.2,0.234,15.4,26.7,'20-21
13,14,Golden State Warriors,72,39,33,.542,3461,55.1,0.239,14.6,22.2,52.2,0.286,14.6,27.3,'20-21
14,15,Memphis Grizzlies,72,38,34,.528,3481,52.8,0.232,13.1,28.5,53.5,0.249,14.6,26.4,'20-21
15,16,Boston Celtics,72,36,36,.500,3476,54.3,0.234,14.1,28.9,53.9,0.273,14.2,26.3,'20-21
16,17,Indiana Pacers,72,34,38,.472,3491,54.2,0.227,13.1,24.7,53.1,0.258,14.4,29.9,'20-21
17,17,Washington Wizards,72,34,38,.472,3481,53.1,0.288,13.7,25.0,53.9,0.277,13.9,26.4,'20-21
18,19,Charlotte Hornets,72,33,39,.458,3471,53.2,0.238,14.9,27.6,55.0,0.219,14.8,27.8,'20-21
19,19,San Antonio Spurs,72,33,39,.458,3496,51.7,0.243,11.3,24.3,54.1,0.230,13.1,26.7,'20-21
20,21,Chicago Bulls,72,31,41,.431,3476,54.7,0.197,15.1,26.7,53.8,0.253,12.7,23.3,'20-21
21,21,New Orleans Pelicans,72,31,41,.431,3486,53.7,0.293,14.4,30.2,55.0,0.236,13.2,24.5,'20-21
22,21,Sacramento Kings,72,31,41,.431,3461,54.9,0.248,13.3,25.3,55.7,0.253,13.6,28.7,'20-21
23,24,Toronto Raptors,72,27,45,.375,3461,52.9,0.241,13.3,25.6,54.3,0.293,16.2,28.4,'20-21
24,25,Minnesota Timberwolves,72,23,49,.319,3481,52.0,0.254,13.9,27.1,55.6,0.264,14.9,28.3,'20-21
25,26,Cleveland Cavaliers,72,22,50,.306,3486,50.8,0.261,15.7,28.0,55.6,0.235,14.5,27.1,'20-21
26,26,Oklahoma City Thunder,72,22,50,.306,3471,50.9,0.242,15.8,25.4,54.7,0.216,12.8,25.8,'20-21
27,28,Orlando Magic,72,21,51,.292,3466,49.0,0.240,12.9,25.2,54.7,0.215,12.8,25.6,'20-21
28,29,Detroit Pistons,72,20,52,.278,3486,51.9,0.273,15.1,26.7,54.1,0.257,14.1,27.5,'20-21
29,30,Houston Rockets,72,17,55,.236,3461,52.1,0.252,14.5,24.0,55.5,0.256,14.4,27.7,'20-21
0,1,Phoenix Suns,82,64,18,.780,3946,54.9,0.221,12.9,26.4,51.0,0.257,14.6,27.2,'21-22
1,2,Memphis Grizzlies,82,56,26,.683,3956,52.2,0.245,13.0,33.8,52.3,0.253,14.9,27.4,'21-22
2,3,Golden State Warriors,82,53,29,.646,3946,55.2,0.235,15.0,26.9,50.9,0.265,14.7,26.4,'21-22
3,3,Miami Heat,82,53,29,.646,3971,54.7,0.252,14.9,27.8,52.4,0.268,15.4,26.5,'21-22
4,5,Dallas Mavericks,82,52,30,.634,3951,53.8,0.249,13.0,25.6,52.1,0.241,13.6,26.7,'21-22
5,6,Boston Celtics,82,51,31,.622,3981,54.2,0.239,13.9,27.7,50.2,0.234,14.0,27.5,'21-22
6,6,Milwaukee Bucks,82,51,31,.622,3951,54.6,0.257,13.3,26.9,53.6,0.220,12.9,25.3,'21-22
7,6,Philadelphia 76ers,82,51,31,.622,3961,53.4,0.282,12.9,24.6,52.4,0.250,13.6,27.6,'21-22
8,9,Utah Jazz,82,49,33,.598,3946,55.5,0.271,14.3,30.0,52.1,0.216,12.3,26.2,'21-22
9,10,Denver Nuggets,82,48,34,.585,3961,55.6,0.244,14.6,26.8,53.7,0.249,12.9,24.8,'21-22
